t,r20,rs
2014/7/1,3.23,0.43
2014/8/1,3,0.4
2014/9/1,2.98,0.44
2014/10/1,2.8,0.4
2014/11/1,2.72,0.41
2014/12/1,2.47,0.41
2015/1/1,2.11,0.38
2015/2/1,2.25,0.34
2015/3/1,2.29,0.43
2015/4/1,2.21,0.43
2015/5/1,2.48,0.45
2015/6/1,2.64,0.47
2015/7/1,2.6,0.49
2015/8/1,2.43,0.46
2015/9/1,2.42,0.45
2015/10/1,2.44,0.48
2015/11/1,2.54,0.48
2015/12/1,2.47,0.46
2016/1/1,2.39,0.48
2016/2/1,2.2,0.47
2016/3/1,2.22,0.45
2016/4/1,2.25,0.45
2016/5/1,2.2,0.44
2016/6/1,1.95,0.4
2016/7/1,1.54,0.37
2016/8/1,1.27,0.23
2016/9/1,1.36,0.21
2016/10/1,1.66,0.17
2016/11/1,1.95,0.14
2016/12/1,2,0.05
2017/1/1,1.99,0.14
2017/2/1,1.91,0.11
2017/3/1,1.81,0.02
2017/4/1,1.69,0.07
2017/5/1,1.75,0.06
2017/6/1,1.71,0.08
